Year,Round,Pick,Reg_Win,Reg_Loss,Reg_Tie,Reg_Games,Playoff_Seed,Playoff_Win,Playoff_Loss,Playoff_Games,Total_Win,Total_Loss,Total_Tie,Total_Games,Full_Ssn_Proj_Wins,Wins_Over_Ssn_Proj,Current_Proj_Wins,Wins_Over_Current_Proj,Reg_Win%,Playoff_Win%,Total_Win%,Playoff_Teams
2020,3,126,50.0,61.0,1.0,112.0,17.0,1.0,3.0,4.0,51.0,64.0,1.0,116.0,50.099999999999994,0.9000000000000012,0.0,0.0,44.6,25.0,44.0,3
2020,4,175,52.0,60.0,0.0,112.0,7.0,0.0,1.0,1.0,52.0,61.0,0.0,113.0,50.3,1.7000000000000002,0.0,0.0,46.4,0.0,46.0,1
2020,99,122,15.0,49.0,0.0,64.0,4.0,0.0,0.0,0.0,15.0,49.0,0.0,64.0,19.599999999999998,-4.6,0.0,0.0,23.4,,23.4,1
2021,1,28,79.0,40.0,0.0,119.0,18.0,8.0,5.0,13.0,87.0,45.0,0.0,132.0,79.30000000000001,7.7,0.0,0.0,66.4,61.5,65.9,6
2021,2,77,67.0,52.0,0.0,119.0,10.0,2.0,3.0,5.0,69.0,55.0,0.0,124.0,70.0,-1.0000000000000018,0.0,0.0,56.3,40.0,55.6,3
2021,3,126,56.0,62.0,1.0,119.0,7.0,0.0,1.0,1.0,56.0,63.0,1.0,120.0,50.599999999999994,5.400000000000001,0.0,0.0,47.1,0.0,46.7,1
2021,4,175,49.0,70.0,0.0,119.0,17.0,0.0,3.0,3.0,49.0,73.0,0.0,122.0,45.0,4.000000000000001,0.0,0.0,41.2,0.0,40.2,3
2021,99,122,20.0,47.0,1.0,68.0,4.0,3.0,1.0,4.0,23.0,48.0,1.0,72.0,21.7,1.3000000000000003,0.0,0.0,29.4,75.0,31.9,1
2023,1,36,79.0,57.0,0.0,136.0,13.0,4.0,3.0,7.0,83.0,60.0,0.0,143.0,78.8,4.2,83.52941176470588,-0.5294117647058814,58.1,57.1,58.0,5
2023,2,100,70.0,66.0,0.0,136.0,10.0,3.0,1.0,4.0,73.0,67.0,0.0,140.0,72.5,0.4999999999999991,75.18235294117648,-2.182352941176471,51.5,75.0,52.1,3
2023,3,164,67.0,69.0,0.0,136.0,19.0,1.0,3.0,4.0,68.0,72.0,0.0,140.0,60.199999999999996,7.799999999999999,62.27058823529411,5.7294117647058815,49.3,25.0,48.6,3
2023,4,228,56.0,80.0,0.0,136.0,14.0,2.0,3.0,5.0,58.0,83.0,0.0,141.0,55.699999999999996,2.3,58.411764705882355,-0.41176470588235237,41.2,40.0,41.1,3
2024,1,36,19.0,13.0,0.0,32.0,0.0,0.0,0.0,0.0,19.0,13.0,0.0,32.0,79.6,-60.60000000000001,18.729411764705883,0.27058823529411735,59.4,,59.4,0
2024,2,100,14.0,18.0,0.0,32.0,0.0,0.0,0.0,0.0,14.0,18.0,0.0,32.0,54.6,-40.6,12.847058823529412,1.1529411764705877,43.8,,43.8,0
2024,3,164,17.0,15.0,0.0,32.0,0.0,0.0,0.0,0.0,17.0,15.0,0.0,32.0,79.3,-62.300000000000004,18.658823529411762,-1.658823529411765,53.1,,53.1,0
2024,4,228,14.0,18.0,0.0,32.0,0.0,0.0,0.0,0.0,14.0,18.0,0.0,32.0,55.6,-41.6,13.08235294117647,0.9176470588235295,43.8,,43.8,0
