Year,Player,Week,WoW_Wins,Week_Int
2017,Alex,1,0.0,1.0
2017,Alex,2,2.0,2.0
2017,Alex,3,3.0,3.0
2017,Alex,4,0.0,4.0
2017,Alex,5,1.0,5.0
2017,Alex,6,4.0,6.0
2017,Alex,7,3.0,7.0
2017,Alex,8,1.0,8.0
2017,Alex,9,1.0,9.0
2017,Alex,10,2.0,10.0
2017,Alex,11,2.0,11.0
2017,Alex,12,2.0,12.0
2017,Alex,13,2.0,13.0
2017,Alex,14,1.0,14.0
2017,Alex,15,1.0,15.0
2017,Alex,16,2.0,16.0
2017,Alex,17,3.0,17.0
2017,Alex,Wild Card,1.0,18.0
2017,Alex,Division,1.0,19.0
2017,Alex,Conf. Champ.,1.0,20.0
2017,Alex,SuperBowl,0.0,21.0
2017,Brandon,1,0.0,1.0
2017,Brandon,2,1.0,2.0
2017,Brandon,3,1.0,3.0
2017,Brandon,4,1.0,4.0
2017,Brandon,5,2.0,5.0
2017,Brandon,6,1.0,6.0
2017,Brandon,7,2.0,7.0
2017,Brandon,8,2.0,8.0
2017,Brandon,9,2.0,9.0
2017,Brandon,10,1.0,10.0
2017,Brandon,11,1.0,11.0
2017,Brandon,12,2.0,12.0
2017,Brandon,13,2.0,13.0
2017,Brandon,14,3.0,14.0
2017,Brandon,15,2.0,15.0
2017,Brandon,16,2.0,16.0
2017,Brandon,17,2.0,17.0
2017,Brandon,Wild Card,0.0,18.0
2017,Dan,1,0.0,1.0
2017,Dan,2,2.0,2.0
2017,Dan,3,2.0,3.0
2017,Dan,4,3.0,4.0
2017,Dan,5,1.0,5.0
2017,Dan,6,3.0,6.0
2017,Dan,7,2.0,7.0
2017,Dan,8,2.0,8.0
2017,Dan,9,3.0,9.0
2017,Dan,10,2.0,10.0
2017,Dan,11,2.0,11.0
2017,Dan,12,2.0,12.0
2017,Dan,13,2.0,13.0
2017,Dan,14,2.0,14.0
2017,Dan,15,1.0,15.0
2017,Dan,16,3.0,16.0
2017,Dan,17,3.0,17.0
2017,Dan,Wild Card,1.0,18.0
2017,Dan,Division,0.0,19.0
2017,JP,1,0.0,1.0
2017,JP,2,0.0,2.0
2017,JP,3,3.0,3.0
2017,JP,4,3.0,4.0
2017,JP,5,2.0,5.0
2017,JP,6,2.0,6.0
2017,JP,7,2.0,7.0
2017,JP,8,1.0,8.0
2017,JP,9,1.0,9.0
2017,JP,10,4.0,10.0
2017,JP,11,2.0,11.0
2017,JP,12,2.0,12.0
2017,JP,13,3.0,13.0
2017,JP,14,1.0,14.0
2017,JP,15,2.0,15.0
2017,JP,16,2.0,16.0
2017,JP,17,2.0,17.0
2017,JP,Wild Card,0.0,18.0
2017,JP,Division,1.0,19.0
2017,JP,Conf. Champ.,0.0,20.0
2017,Jackson,1,0.0,1.0
2017,Jackson,2,3.0,2.0
2017,Jackson,3,3.0,3.0
2017,Jackson,4,3.0,4.0
2017,Jackson,5,2.0,5.0
2017,Jackson,6,1.0,6.0
2017,Jackson,7,1.0,7.0
2017,Jackson,8,3.0,8.0
2017,Jackson,9,0.0,9.0
2017,Jackson,10,2.0,10.0
2017,Jackson,11,2.0,11.0
2017,Jackson,12,2.0,12.0
2017,Jackson,13,0.0,13.0
2017,Jackson,14,4.0,14.0
2017,Jackson,15,4.0,15.0
2017,Jackson,16,2.0,16.0
2017,Jackson,17,2.0,17.0
2017,Jackson,Wild Card,1.0,18.0
2017,Jackson,Division,1.0,19.0
2017,Jackson,Conf. Champ.,1.0,20.0
2017,Jackson,SuperBowl,1.0,21.0
2017,Jordan,1,0.0,1.0
2017,Jordan,2,3.0,2.0
2017,Jordan,3,0.0,3.0
2017,Jordan,4,3.0,4.0
2017,Jordan,5,1.0,5.0
2017,Jordan,6,1.0,6.0
2017,Jordan,7,1.0,7.0
2017,Jordan,8,1.0,8.0
2017,Jordan,9,1.0,9.0
2017,Jordan,10,2.0,10.0
2017,Jordan,11,3.0,11.0
2017,Jordan,12,2.0,12.0
2017,Jordan,13,1.0,13.0
2017,Jordan,14,1.0,14.0
2017,Jordan,15,1.0,15.0
2017,Jordan,16,1.0,16.0
2017,Jordan,17,2.0,17.0
2017,Leftover,1,0.0,1.0
2017,Leftover,2,0.0,2.0
2017,Leftover,3,3.0,3.0
2017,Leftover,4,2.0,4.0
2017,Leftover,5,2.0,5.0
2017,Leftover,6,0.0,6.0
2017,Leftover,7,2.0,7.0
2017,Leftover,8,1.0,8.0
2017,Leftover,9,2.0,9.0
2017,Leftover,10,1.0,10.0
2017,Leftover,11,1.0,11.0
2017,Leftover,12,1.0,12.0
2017,Leftover,13,2.0,13.0
2017,Leftover,14,2.0,14.0
2017,Leftover,15,2.0,15.0
2017,Leftover,16,0.0,16.0
2017,Leftover,17,1.0,17.0
2017,Leftover,Wild Card,1.0,18.0
2017,Leftover,Division,1.0,19.0
2017,Leftover,Conf. Champ.,0.0,20.0
2017,Mike,1,0.0,1.0
2017,Mike,2,2.0,2.0
2017,Mike,3,0.0,3.0
2017,Mike,4,1.0,4.0
2017,Mike,5,3.0,5.0
2017,Mike,6,1.0,6.0
2017,Mike,7,2.0,7.0
2017,Mike,8,2.0,8.0
2017,Mike,9,0.0,9.0
2017,Mike,10,2.0,10.0
2017,Mike,11,1.0,11.0
2017,Mike,12,2.0,12.0
2017,Mike,13,4.0,13.0
2017,Mike,14,2.0,14.0
2017,Mike,15,2.0,15.0
2017,Mike,16,3.0,16.0
2017,Mike,17,1.0,17.0
