Year,Round,Pick,Player,Team,Reg_Win,Reg_Loss,Reg_Tie,Reg_Games,Playoff_Seed,Playoff_Win,Playoff_Loss,Playoff_Games,Total_Win,Total_Loss,Total_Tie,Total_Games,Reg_Win%,Playoff_Win%,Total_Win%
2022,4,25,Jordan,NoPoolIn2022,,,,,,,,,,,,,,,
2022,4,26,JP,NoPoolIn2022,,,,,,,,,,,,,,,
2022,4,27,Brandon,NoPoolIn2022,,,,,,,,,,,,,,,
2022,4,28,Dan,NoPoolIn2022,,,,,,,,,,,,,,,
2022,99,29,Leftover,NoPoolIn2022,,,,,,,,,,,,,,,
2022,99,30,Leftover,NoPoolIn2022,,,,,,,,,,,,,,,
2022,99,31,Leftover,NoPoolIn2022,,,,,,,,,,,,,,,
2022,99,32,Leftover,NoPoolIn2022,,,,,,,,,,,,,,,
2021,1,1,Dan,Buccaneers,13.0,4.0,0.0,17.0,2.0,1.0,1.0,2.0,14.0,5.0,0.0,19.0,0.7647058823529411,0.5,0.7368421052631579
2021,1,2,Brandon,Chiefs,12.0,5.0,0.0,17.0,2.0,2.0,1.0,3.0,14.0,6.0,0.0,20.0,0.7058823529411765,0.6666666666666666,0.7
2021,1,3,JP,Bills,11.0,6.0,0.0,17.0,3.0,1.0,1.0,2.0,12.0,7.0,0.0,19.0,0.6470588235294118,0.5,0.631578947368421
2021,1,4,Jordan,Rams,12.0,5.0,0.0,17.0,4.0,4.0,0.0,4.0,16.0,5.0,0.0,21.0,0.7058823529411765,1.0,0.7619047619047619
2021,1,5,Mike,Patriots,10.0,7.0,0.0,17.0,6.0,0.0,1.0,1.0,10.0,8.0,0.0,18.0,0.5882352941176471,0.0,0.5555555555555556
2021,1,6,Jackson,Packers,13.0,4.0,0.0,17.0,1.0,0.0,1.0,1.0,13.0,5.0,0.0,18.0,0.7647058823529411,0.0,0.7222222222222222
2021,1,7,Alex,Browns,8.0,9.0,0.0,17.0,,,,,8.0,9.0,0.0,17.0,0.47058823529411764,,0.47058823529411764
2021,2,8,Alex,Ravens,8.0,9.0,0.0,17.0,,,,,8.0,9.0,0.0,17.0,0.47058823529411764,,0.47058823529411764
2021,2,9,Jackson,49ers,10.0,7.0,0.0,17.0,6.0,2.0,1.0,3.0,12.0,8.0,0.0,20.0,0.5882352941176471,0.6666666666666666,0.6
2021,2,10,Mike,Titans,12.0,5.0,0.0,17.0,1.0,0.0,1.0,1.0,12.0,6.0,0.0,18.0,0.7058823529411765,0.0,0.6666666666666666
2021,2,11,Jordan,Seahawks,7.0,10.0,0.0,17.0,,,,,7.0,10.0,0.0,17.0,0.4117647058823529,,0.4117647058823529
2021,2,12,JP,Chargers,9.0,8.0,0.0,17.0,,,,,9.0,8.0,0.0,17.0,0.5294117647058824,,0.5294117647058824
2021,2,13,Brandon,Colts,9.0,8.0,0.0,17.0,,,,,9.0,8.0,0.0,17.0,0.5294117647058824,,0.5294117647058824
2021,2,14,Dan,Cowboys,12.0,5.0,0.0,17.0,3.0,0.0,1.0,1.0,12.0,6.0,0.0,18.0,0.7058823529411765,0.0,0.6666666666666666
2021,3,15,Dan,Saints,9.0,8.0,0.0,17.0,,,,,9.0,8.0,0.0,17.0,0.5294117647058824,,0.5294117647058824
2021,3,16,Brandon,Falcons,7.0,10.0,0.0,17.0,,,,,7.0,10.0,0.0,17.0,0.4117647058823529,,0.4117647058823529
2021,3,17,JP,Dolphins,9.0,8.0,0.0,17.0,,,,,9.0,8.0,0.0,17.0,0.5294117647058824,,0.5294117647058824
2021,3,18,Jordan,Vikings,8.0,9.0,0.0,17.0,,,,,8.0,9.0,0.0,17.0,0.47058823529411764,,0.47058823529411764
2021,3,19,Mike,Redskins,7.0,10.0,0.0,17.0,,,,,7.0,10.0,0.0,17.0,0.4117647058823529,,0.4117647058823529
2021,3,20,Jackson,Broncos,7.0,10.0,0.0,17.0,,,,,7.0,10.0,0.0,17.0,0.4117647058823529,,0.4117647058823529
2021,3,21,Alex,Steelers,9.0,7.0,1.0,17.0,7.0,0.0,1.0,1.0,9.0,8.0,1.0,18.0,0.5294117647058824,0.0,0.5
2021,4,22,Alex,Cardinals,11.0,6.0,0.0,17.0,5.0,0.0,1.0,1.0,11.0,7.0,0.0,18.0,0.6470588235294118,0.0,0.6111111111111112
