Year,Player,Week,WoW_Wins,Week_Int
2023,Alex,1,0,1
2023,Alex,2,2,2
2023,Alex,3,2,3
2023,Alex,4,3,4
2023,Alex,5,2,5
2023,Alex,6,2,6
2023,Alex,7,2,7
2023,Alex,8,3,8
2023,Alex,9,1,9
2023,Alex,10,1,10
2023,Brandon,1,0,1
2023,Brandon,2,3,2
2023,Brandon,3,1,3
2023,Brandon,4,2,4
2023,Brandon,5,1,5
2023,Brandon,6,3,6
2023,Brandon,7,2,7
2023,Brandon,8,2,8
2023,Brandon,9,2,9
2023,Brandon,10,1,10
2023,Dan,1,0,1
2023,Dan,2,1,2
2023,Dan,3,1,3
2023,Dan,4,2,4
2023,Dan,5,1,5
2023,Dan,6,1,6
2023,Dan,7,1,7
2023,Dan,8,2,8
2023,Dan,9,1,9
2023,Dan,10,2,10
2023,JP,1,0,1
2023,JP,2,2,2
2023,JP,3,1,3
2023,JP,4,2,4
2023,JP,5,2,5
2023,JP,6,1,6
2023,JP,7,2,7
2023,JP,8,1,8
2023,JP,9,1,9
2023,JP,10,1,10
2023,Jackson,1,0,1
2023,Jackson,2,2,2
2023,Jackson,3,2,3
2023,Jackson,4,2,4
2023,Jackson,5,2,5
2023,Jackson,6,2,6
2023,Jackson,7,1,7
2023,Jackson,8,3,8
2023,Jackson,9,1,9
2023,Jackson,10,2,10
2023,Jordan,1,0,1
2023,Jordan,2,1,2
2023,Jordan,3,2,3
2023,Jordan,4,2,4
2023,Jordan,5,2,5
2023,Jordan,6,2,6
2023,Jordan,7,1,7
2023,Jordan,8,3,8
2023,Jordan,9,3,9
2023,Jordan,10,1,10
2023,Mike,1,0,1
2023,Mike,2,3,2
2023,Mike,3,3,3
2023,Mike,4,1,4
2023,Mike,5,2,5
2023,Mike,6,0,6
2023,Mike,7,2,7
2023,Mike,8,1,8
2023,Mike,9,2,9
2023,Mike,10,2,10
2023,Victoria,1,0,1
2023,Victoria,2,1,2
2023,Victoria,3,4,3
2023,Victoria,4,2,4
2023,Victoria,5,2,5
2023,Victoria,6,3,6
2023,Victoria,7,2,7
2023,Victoria,8,1,8
2023,Victoria,9,2,9
2023,Victoria,10,3,10
