Year,Player,Week,WoW_Wins,Week_Int
2021,Alex,1,0.0,1.0
2021,Alex,2,3.0,2.0
2021,Alex,3,3.0,3.0
2021,Alex,4,3.0,4.0
2021,Alex,5,3.0,5.0
2021,Alex,6,3.0,6.0
2021,Alex,7,2.0,7.0
2021,Alex,8,1.0,8.0
2021,Alex,9,4.0,9.0
2021,Alex,10,0.0,10.0
2021,Alex,11,3.0,11.0
2021,Alex,12,1.0,12.0
2021,Alex,13,2.0,13.0
2021,Alex,14,1.0,14.0
2021,Alex,15,1.0,15.0
2021,Alex,16,0.0,16.0
2021,Alex,17,2.0,17.0
2021,Alex,18,2.0,18.0
2021,Alex,Wild Card,0.0,19.0
2021,Brandon,1,0.0,1.0
2021,Brandon,2,0.0,2.0
2021,Brandon,3,1.0,3.0
2021,Brandon,4,2.0,4.0
2021,Brandon,5,2.0,5.0
2021,Brandon,6,2.0,6.0
2021,Brandon,7,2.0,7.0
2021,Brandon,8,2.0,8.0
2021,Brandon,9,3.0,9.0
2021,Brandon,10,3.0,10.0
2021,Brandon,11,3.0,11.0
2021,Brandon,12,1.0,12.0
2021,Brandon,13,3.0,13.0
2021,Brandon,14,2.0,14.0
2021,Brandon,15,3.0,15.0
2021,Brandon,16,4.0,16.0
2021,Brandon,17,1.0,17.0
2021,Brandon,18,1.0,18.0
2021,Brandon,Wild Card,1.0,19.0
2021,Brandon,Division,1.0,20.0
2021,Brandon,Conf. Champ.,0.0,21.0
2021,Dan,1,0.0,1.0
2021,Dan,2,3.0,2.0
2021,Dan,3,3.0,3.0
2021,Dan,4,2.0,4.0
2021,Dan,5,3.0,5.0
2021,Dan,6,3.0,6.0
2021,Dan,7,3.0,7.0
2021,Dan,8,2.0,8.0
2021,Dan,9,0.0,9.0
2021,Dan,10,1.0,10.0
2021,Dan,11,1.0,11.0
2021,Dan,12,2.0,12.0
2021,Dan,13,2.0,13.0
2021,Dan,14,3.0,14.0
2021,Dan,15,3.0,15.0
2021,Dan,16,3.0,16.0
2021,Dan,17,3.0,17.0
2021,Dan,18,4.0,18.0
2021,Dan,Wild Card,1.0,19.0
2021,Dan,Division,0.0,20.0
2021,JP,1,0.0,1.0
2021,JP,2,1.0,2.0
2021,JP,3,2.0,3.0
2021,JP,4,3.0,4.0
2021,JP,5,2.0,5.0
2021,JP,6,0.0,6.0
2021,JP,7,0.0,7.0
2021,JP,8,2.0,8.0
2021,JP,9,2.0,9.0
2021,JP,10,2.0,10.0
2021,JP,11,2.0,11.0
2021,JP,12,3.0,12.0
2021,JP,13,2.0,13.0
2021,JP,14,1.0,14.0
2021,JP,15,2.0,15.0
2021,JP,16,3.0,16.0
2021,JP,17,2.0,17.0
2021,JP,18,2.0,18.0
2021,JP,Wild Card,1.0,19.0
2021,JP,Division,0.0,20.0
2021,Jackson,1,0.0,1.0
2021,Jackson,2,4.0,2.0
2021,Jackson,3,2.0,3.0
2021,Jackson,4,2.0,4.0
2021,Jackson,5,2.0,5.0
2021,Jackson,6,1.0,6.0
2021,Jackson,7,1.0,7.0
2021,Jackson,8,3.0,8.0
2021,Jackson,9,1.0,9.0
2021,Jackson,10,2.0,10.0
2021,Jackson,11,1.0,11.0
2021,Jackson,12,4.0,12.0
2021,Jackson,13,0.0,13.0
2021,Jackson,14,3.0,14.0
2021,Jackson,15,2.0,15.0
2021,Jackson,16,2.0,16.0
2021,Jackson,17,3.0,17.0
2021,Jackson,18,1.0,18.0
2021,Jackson,Wild Card,1.0,19.0
2021,Jackson,Division,1.0,20.0
2021,Jackson,Conf. Champ.,0.0,21.0
2021,Jordan,1,0.0,1.0
2021,Jordan,2,2.0,2.0
2021,Jordan,3,3.0,3.0
2021,Jordan,4,1.0,4.0
2021,Jordan,5,2.0,5.0
2021,Jordan,6,2.0,6.0
2021,Jordan,7,1.0,7.0
2021,Jordan,8,3.0,8.0
2021,Jordan,9,0.0,9.0
2021,Jordan,10,2.0,10.0
2021,Jordan,11,1.0,11.0
2021,Jordan,12,0.0,12.0
2021,Jordan,13,2.0,13.0
2021,Jordan,14,3.0,14.0
2021,Jordan,15,2.0,15.0
2021,Jordan,16,1.0,16.0
2021,Jordan,17,2.0,17.0
2021,Jordan,18,2.0,18.0
2021,Jordan,Wild Card,1.0,19.0
2021,Jordan,Division,1.0,20.0
2021,Jordan,Conf. Champ.,1.0,21.0
2021,Jordan,SuperBowl,1.0,22.0
2021,Leftover,1,0.0,1.0
2021,Leftover,2,0.0,2.0
2021,Leftover,3,1.0,3.0
2021,Leftover,4,1.0,4.0
2021,Leftover,5,0.0,5.0
2021,Leftover,6,2.0,6.0
2021,Leftover,7,1.0,7.0
2021,Leftover,8,0.0,8.0
2021,Leftover,9,1.0,9.0
2021,Leftover,10,0.0,10.0
2021,Leftover,11,2.0,11.0
2021,Leftover,12,1.0,12.0
2021,Leftover,13,1.0,13.0
2021,Leftover,14,0.0,14.0
2021,Leftover,15,3.0,15.0
2021,Leftover,16,2.0,16.0
2021,Leftover,17,1.0,17.0
2021,Leftover,18,2.0,18.0
2021,Leftover,Wild Card,1.0,19.0
2021,Leftover,Division,1.0,20.0
2021,Leftover,Conf. Champ.,1.0,21.0
2021,Leftover,SuperBowl,0.0,22.0
2021,Mike,1,0.0,1.0
2021,Mike,2,2.0,2.0
2021,Mike,3,1.0,3.0
2021,Mike,4,1.0,4.0
2021,Mike,5,2.0,5.0
2021,Mike,6,1.0,6.0
2021,Mike,7,3.0,7.0
2021,Mike,8,2.0,8.0
2021,Mike,9,2.0,9.0
2021,Mike,10,3.0,10.0
2021,Mike,11,1.0,11.0
2021,Mike,12,2.0,12.0
2021,Mike,13,1.0,13.0
2021,Mike,14,1.0,14.0
2021,Mike,15,0.0,15.0
2021,Mike,16,1.0,16.0
2021,Mike,17,2.0,17.0
2021,Mike,18,1.0,18.0
2021,Mike,Wild Card,0.0,19.0
2021,Mike,Division,0.0,20.0
