Year,Round,Pick,Player,Team,Week,Wins,Games_Played,Week_Type
2020,1,1,Mike,Patriots,1,1,1,RegSsn
2020,1,1,Mike,Patriots,2,1,2,RegSsn
2020,1,1,Mike,Patriots,3,2,3,RegSsn
2020,1,1,Mike,Patriots,4,2,4,RegSsn
2020,1,1,Mike,Patriots,5,2,4,Bye Week
2020,1,1,Mike,Patriots,6,2,5,RegSsn
2020,1,1,Mike,Patriots,7,2,6,RegSsn
2020,1,1,Mike,Patriots,8,2,7,RegSsn
2020,1,1,Mike,Patriots,9,3,8,RegSsn
2020,1,1,Mike,Patriots,10,4,9,RegSsn
2020,1,1,Mike,Patriots,11,4,10,RegSsn
2020,1,1,Mike,Patriots,12,5,11,RegSsn
2020,1,1,Mike,Patriots,13,6,12,RegSsn
2020,1,1,Mike,Patriots,14,6,13,RegSsn
2020,1,1,Mike,Patriots,15,6,14,RegSsn
2020,1,1,Mike,Patriots,16,6,15,RegSsn
2020,1,1,Mike,Patriots,17,7,16,RegSsn
2020,1,2,Alex,Chiefs,1,1,1,RegSsn
2020,1,2,Alex,Chiefs,2,2,2,RegSsn
2020,1,2,Alex,Chiefs,3,3,3,RegSsn
2020,1,2,Alex,Chiefs,4,4,4,RegSsn
2020,1,2,Alex,Chiefs,5,4,5,RegSsn
2020,1,2,Alex,Chiefs,6,5,6,RegSsn
2020,1,2,Alex,Chiefs,7,6,7,RegSsn
2020,1,2,Alex,Chiefs,8,7,8,RegSsn
2020,1,2,Alex,Chiefs,10,8,9,Bye Week
2020,1,2,Alex,Chiefs,9,8,9,RegSsn
2020,1,2,Alex,Chiefs,11,9,10,RegSsn
2020,1,2,Alex,Chiefs,12,10,11,RegSsn
2020,1,2,Alex,Chiefs,13,11,12,RegSsn
2020,1,2,Alex,Chiefs,14,12,13,RegSsn
2020,1,2,Alex,Chiefs,15,13,14,RegSsn
2020,1,2,Alex,Chiefs,16,14,15,RegSsn
2020,1,2,Alex,Chiefs,17,14,16,RegSsn
2020,1,2,Alex,Chiefs,Division,15,17,Playoffs
2020,1,2,Alex,Chiefs,Conf. Champ.,16,18,Playoffs
2020,1,2,Alex,Chiefs,SuperBowl,16,19,Playoffs
2020,1,3,Brandon,Ravens,1,1,1,RegSsn
2020,1,3,Brandon,Ravens,2,2,2,RegSsn
2020,1,3,Brandon,Ravens,3,2,3,RegSsn
2020,1,3,Brandon,Ravens,4,3,4,RegSsn
2020,1,3,Brandon,Ravens,5,4,5,RegSsn
2020,1,3,Brandon,Ravens,6,5,6,RegSsn
2020,1,3,Brandon,Ravens,7,5,6,Bye Week
2020,1,3,Brandon,Ravens,8,5,7,RegSsn
