Year,Player,Week,WoW_Wins,Week_Int
2018,Alex,1,0.0,1.0
2018,Alex,2,3.0,2.0
2018,Alex,3,2.0,3.0
2018,Alex,4,2.0,4.0
2018,Alex,5,2.0,5.0
2018,Alex,6,1.0,6.0
2018,Alex,7,2.0,7.0
2018,Alex,8,2.0,8.0
2018,Alex,9,3.0,9.0
2018,Alex,10,3.0,10.0
2018,Alex,11,1.0,11.0
2018,Alex,12,2.0,12.0
2018,Alex,13,1.0,13.0
2018,Alex,14,3.0,14.0
2018,Alex,15,3.0,15.0
2018,Alex,16,2.0,16.0
2018,Alex,17,2.0,17.0
2018,Alex,Wild Card,0.0,18.0
2018,Alex,Division,1.0,19.0
2018,Alex,Conf. Champ.,0.0,20.0
2018,Brandon,1,0.0,1.0
2018,Brandon,2,2.0,2.0
2018,Brandon,3,3.0,3.0
2018,Brandon,4,2.0,4.0
2018,Brandon,5,2.0,5.0
2018,Brandon,6,2.0,6.0
2018,Brandon,7,3.0,7.0
2018,Brandon,8,3.0,8.0
2018,Brandon,9,1.0,9.0
2018,Brandon,10,2.0,10.0
2018,Brandon,11,3.0,11.0
2018,Brandon,12,2.0,12.0
2018,Brandon,13,2.0,13.0
2018,Brandon,14,1.0,14.0
2018,Brandon,15,2.0,15.0
2018,Brandon,16,3.0,16.0
2018,Brandon,17,4.0,17.0
2018,Brandon,Wild Card,1.0,18.0
2018,Brandon,Division,1.0,19.0
2018,Brandon,Conf. Champ.,1.0,20.0
2018,Brandon,SuperBowl,0.0,21.0
2018,Dan,1,0.0,1.0
2018,Dan,2,1.0,2.0
2018,Dan,3,2.0,3.0
2018,Dan,4,1.0,4.0
2018,Dan,5,1.0,5.0
2018,Dan,6,2.0,6.0
2018,Dan,7,2.0,7.0
2018,Dan,8,2.0,8.0
2018,Dan,9,0.0,9.0
2018,Dan,10,2.0,10.0
2018,Dan,11,3.0,11.0
2018,Dan,12,3.0,12.0
2018,Dan,13,4.0,13.0
2018,Dan,14,1.0,14.0
2018,Dan,15,2.0,15.0
2018,Dan,16,1.0,16.0
2018,Dan,17,2.0,17.0
2018,Dan,Wild Card,1.0,18.0
2018,Dan,Division,0.0,19.0
2018,JP,1,0.0,1.0
2018,JP,2,2.0,2.0
2018,JP,3,0.0,3.0
2018,JP,4,2.0,4.0
2018,JP,5,1.0,5.0
2018,JP,6,2.0,6.0
2018,JP,7,1.0,7.0
2018,JP,8,1.0,8.0
2018,JP,9,1.0,9.0
2018,JP,10,1.0,10.0
2018,JP,11,0.0,11.0
2018,JP,12,0.0,12.0
2018,JP,13,0.0,13.0
2018,JP,14,1.0,14.0
2018,JP,15,2.0,15.0
2018,JP,16,2.0,16.0
2018,JP,17,1.0,17.0
2018,Jackson,1,0.0,1.0
2018,Jackson,2,2.0,2.0
2018,Jackson,3,2.0,3.0
2018,Jackson,4,3.0,4.0
2018,Jackson,5,2.0,5.0
2018,Jackson,6,0.0,6.0
2018,Jackson,7,2.0,7.0
2018,Jackson,8,1.0,8.0
2018,Jackson,9,1.0,9.0
2018,Jackson,10,1.0,10.0
2018,Jackson,11,3.0,11.0
2018,Jackson,12,1.0,12.0
2018,Jackson,13,1.0,13.0
2018,Jackson,14,3.0,14.0
2018,Jackson,15,1.0,15.0
2018,Jackson,16,3.0,16.0
2018,Jackson,17,1.0,17.0
2018,Jackson,Division,1.0,19.0
2018,Jackson,Conf. Champ.,0.0,20.0
2018,Jordan,1,0.0,1.0
2018,Jordan,2,1.0,2.0
2018,Jordan,3,2.0,3.0
2018,Jordan,4,2.0,4.0
2018,Jordan,5,2.0,5.0
2018,Jordan,6,4.0,6.0
2018,Jordan,7,0.0,7.0
2018,Jordan,8,2.0,8.0
2018,Jordan,9,1.0,9.0
2018,Jordan,10,2.0,10.0
2018,Jordan,11,3.0,11.0
2018,Jordan,12,2.0,12.0
2018,Jordan,13,2.0,13.0
2018,Jordan,14,3.0,14.0
2018,Jordan,15,1.0,15.0
2018,Jordan,16,2.0,16.0
2018,Jordan,17,3.0,17.0
2018,Jordan,Wild Card,1.0,18.0
2018,Jordan,Division,0.0,19.0
2018,Leftover,1,0.0,1.0
2018,Leftover,2,2.0,2.0
2018,Leftover,3,2.0,3.0
2018,Leftover,4,0.0,4.0
2018,Leftover,5,2.0,5.0
2018,Leftover,6,1.0,6.0
2018,Leftover,7,1.0,7.0
2018,Leftover,8,1.0,8.0
2018,Leftover,9,1.0,9.0
2018,Leftover,10,1.0,10.0
2018,Leftover,11,0.0,11.0
2018,Leftover,12,2.0,12.0
2018,Leftover,13,3.0,13.0
2018,Leftover,14,2.0,14.0
2018,Leftover,15,1.0,15.0
2018,Leftover,16,1.0,16.0
2018,Leftover,17,0.0,17.0
2018,Mike,1,0.0,1.0
2018,Mike,2,2.0,2.0
2018,Mike,3,2.0,3.0
2018,Mike,4,3.0,4.0
2018,Mike,5,3.0,5.0
2018,Mike,6,2.0,6.0
2018,Mike,7,2.0,7.0
2018,Mike,8,1.0,8.0
2018,Mike,9,3.0,9.0
2018,Mike,10,3.0,10.0
2018,Mike,11,0.0,11.0
2018,Mike,12,3.0,12.0
2018,Mike,13,3.0,13.0
2018,Mike,14,2.0,14.0
2018,Mike,15,3.0,15.0
2018,Mike,16,2.0,16.0
2018,Mike,17,3.0,17.0
2018,Mike,Wild Card,1.0,18.0
2018,Mike,Division,1.0,19.0
2018,Mike,Conf. Champ.,1.0,20.0
2018,Mike,SuperBowl,1.0,21.0
