Year,Round,Pick,Player,Team,Week,Wins,Games_Played,Week_Type
2018,1,1,Jordan,Steelers,1,0,1,RegSsn
2018,1,1,Jordan,Steelers,2,0,2,RegSsn
2018,1,1,Jordan,Steelers,3,1,3,RegSsn
2018,1,1,Jordan,Steelers,4,1,4,RegSsn
2018,1,1,Jordan,Steelers,5,2,5,RegSsn
2018,1,1,Jordan,Steelers,6,3,6,RegSsn
2018,1,1,Jordan,Steelers,7,3,6,Bye Week
2018,1,1,Jordan,Steelers,8,4,7,RegSsn
2018,1,1,Jordan,Steelers,9,5,8,RegSsn
2018,1,1,Jordan,Steelers,10,6,9,RegSsn
2018,1,1,Jordan,Steelers,11,7,10,RegSsn
2018,1,1,Jordan,Steelers,12,7,11,RegSsn
2018,1,1,Jordan,Steelers,13,7,12,RegSsn
2018,1,1,Jordan,Steelers,14,7,13,RegSsn
2018,1,1,Jordan,Steelers,15,8,14,RegSsn
2018,1,1,Jordan,Steelers,16,8,15,RegSsn
2018,1,1,Jordan,Steelers,17,9,16,RegSsn
2018,1,2,Mike,Patriots,1,1,1,RegSsn
2018,1,2,Mike,Patriots,2,1,2,RegSsn
2018,1,2,Mike,Patriots,3,1,3,RegSsn
2018,1,2,Mike,Patriots,4,2,4,RegSsn
2018,1,2,Mike,Patriots,5,3,5,RegSsn
2018,1,2,Mike,Patriots,6,4,6,RegSsn
2018,1,2,Mike,Patriots,7,5,7,RegSsn
2018,1,2,Mike,Patriots,8,6,8,RegSsn
2018,1,2,Mike,Patriots,9,7,9,RegSsn
2018,1,2,Mike,Patriots,10,7,10,RegSsn
2018,1,2,Mike,Patriots,11,7,10,Bye Week
2018,1,2,Mike,Patriots,12,8,11,RegSsn
2018,1,2,Mike,Patriots,13,9,12,RegSsn
2018,1,2,Mike,Patriots,14,9,13,RegSsn
2018,1,2,Mike,Patriots,15,9,14,RegSsn
2018,1,2,Mike,Patriots,16,10,15,RegSsn
2018,1,2,Mike,Patriots,17,11,16,RegSsn
2018,1,2,Mike,Patriots,Division,12,17,Playoffs
2018,1,2,Mike,Patriots,Conf. Champ.,13,18,Playoffs
2018,1,2,Mike,Patriots,SuperBowl,14,19,Playoffs
2018,1,3,Alex,Vikings,1,1,1,RegSsn
2018,1,3,Alex,Vikings,2,1,2,RegSsn
2018,1,3,Alex,Vikings,3,1,3,RegSsn
